"avg_type","id","player","team","pos","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","pos_rank","tier"
"robust","0532",NA,"HOU","DST",128.55,12.67623,7.135,111.375,147.075,11.595,5.8125,8.89249999999998,77,90,79,1,1
"average","0532",NA,"HOU","DST",128.823333333333,15.2016073711521,7.77666666666666,111.375,147.075,9.04666666666665,5.8125,8.89249999999998,85,90,79,1,1
"robust","0511",NA,"DEN","DST",121.415,15.441279,4.46000000000001,105.5625,138.1825,4.46000000000001,0,0,96,103,103,2,2
"average","0511",NA,"DEN","DST",121.046666666667,13.455767041186,1.27,105.5625,138.1825,1.27,0,0,100,103,103,2,1
"average","0515",NA,"SEA","DST",119.776666666667,18.4667232249435,3.65000000000001,102.0625,145.3,0,-3.5,7.11749999999998,103,115,86,3,2
"robust","0515",NA,"SEA","DST",116.955,15.12252,1.155,102.0625,145.3,0,-3.5,7.11749999999998,103,115,86,3,3
"robust","0510",NA,"PIT","DST",115.8,7.160958,2.95,106.975,125.065,-1.155,1.41249999999999,-13.1175,106,98,139,4,4
"average","0510",NA,"PIT","DST",116.126666666667,7.57666593342129,2.26333333333334,106.975,125.065,-3.65000000000001,1.41249999999999,-13.1175,113,98,139,4,3
"average","0524",NA,"MIN","DST",113.863333333333,11.8409149421262,1.09,104.625,130.9,-5.91333333333334,-0.9375,-7.28250000000003,118,107,120,5,4
"robust","0528",NA,"LAR","DST",112.85,11.297412,1.94999999999999,100.9375,125.8975,-4.105,-4.625,-12.285,118,117,135,5,5
"robust","0524",NA,"MIN","DST",110.9,2.07564,0.219999999999999,104.625,130.9,-6.05499999999999,-0.9375,-7.28250000000003,121,107,120,6,5
"average","0528",NA,"LAR","DST",112.773333333333,10.414838772956,0.763333333333321,100.9375,125.8975,-7.00333333333334,-4.625,-12.285,122,117,135,6,4
"average","0518",NA,"PHI","DST",112.01,18.4802732663779,0.433333333333337,95.6,136.08,-7.76666666666667,-9.96250000000001,-2.10250000000002,123,127,109,7,4
"robust","0514",NA,"LAC","DST",110.68,3.11346000000001,0.680000000000007,105.3,123.965,-6.27499999999999,-0.262500000000003,-14.2175,123,104,143,7,5
"average","0514",NA,"LAC","DST",111.576666666667,8.36928113201287,0.306666666666658,105.3,123.965,-8.2,-0.262500000000003,-14.2175,124,104,143,8,5
"robust","0501",NA,"BUF","DST",110,10.489395,0.900000000000006,96.5875,130.3275,-6.955,-8.97499999999999,-7.85500000000002,124,126,121,8,6
"average","0501",NA,"BUF","DST",111.27,13.7659434838299,2.80666666666667,96.5875,130.3275,-8.50666666666666,-8.97499999999999,-7.85500000000002,125,126,121,9,6
"robust","0518",NA,"PHI","DST",109.1,17.49468,1.14999999999999,95.6,136.08,-7.855,-9.96250000000001,-2.10250000000002,127,127,109,9,7
"average","0522",NA,"DET","DST",108.463333333333,11.0530659396688,0.363333333333344,98.0625,124.3575,-11.3133333333333,-7.5,-13.825,129,123,141,10,6
"robust","0507",NA,"CLE","DST",107.95,13.49166,0.849999999999994,95.4,119.88,-9.005,-10.1625,-18.3025,129,128,155,10,8
"average","0507",NA,"CLE","DST",108.1,11.5286599394726,1.97,95.4,119.88,-11.6766666666667,-10.1625,-18.3025,130,128,155,11,7
"robust","0522",NA,"DET","DST",107.1,8.806644,0.125000000000014,98.0625,124.3575,-9.85499999999999,-7.5,-13.825,132,123,141,11,8
"robust","0521",NA,"CHI","DST",106.975,14.23296,1.3,90.08,117.27,-9.98,-15.4825,-20.9125,133,147,165,12,9
"average","0531",NA,"BAL","DST",106.13,10.5191254389326,0.599999999999994,94.78,117.76,-13.6466666666667,-10.7825,-20.4225,138,130,163,12,8
"robust","0531",NA,"BAL","DST",105.675,13.3434,1.875,94.78,117.76,-11.28,-10.7825,-20.4225,138,130,163,13,10
"average","0521",NA,"CHI","DST",105.53,12.376873595541,1.03333333333333,90.08,117.27,-14.2466666666667,-15.4825,-20.9125,142,147,165,13,9
"robust","0509",NA,"JAC","DST",103.8,3.31113999999998,0.799999999999997,101.113333333333,107.173333333333,-13.155,-4.44916666666666,-31.0091666666667,143,116,199,14,11
"robust","0523",NA,"GB","DST",103,20.7564,0.25,83.32,125.62,-13.955,-22.2425,-12.5625,146,175,136,15,11
